,survey_questions_id,survey_raw_answers_id,survey_condition,Awe,Fear,Anger,Pride,Shame,Disgust,Sadness,Contempt,Interest,Surprise,Amusement,Happiness,Embarrassment
100,152,96,/survey-so,0,0,4,0,0,4,0,0,4,0,0,0,0
101,105,96,/survey-so,0,2,3,0,2,4,2,0,0,0,0,0,0
102,109,96,/survey-so,0,0,0,2,0,0,0,4,2,0,4,3,0
103,395,96,/survey-so,0,0,3,0,2,0,0,0,0,3,0,0,4
104,202,96,/survey-so,0,0,4,0,4,0,2,0,0,0,0,0,3
105,370,96,/survey-so,0,0,0,3,0,0,0,4,4,0,4,4,0
106,204,96,/survey-so,0,0,0,0,0,0,0,0,2,4,0,0,0
107,41,96,/survey-so,0,0,0,3,0,0,0,1,3,0,1,1,0
108,116,96,/survey-so,0,2,0,0,4,0,0,0,0,4,3,0,4
109,343,96,/survey-so,3,4,0,0,0,4,2,0,0,4,0,0,0
110,227,96,/survey-so,0,0,4,4,0,3,0,0,2,0,0,0,0
111,417,96,/survey-so,4,4,4,0,4,0,4,0,4,4,0,0,0
112,62,96,/survey-so,0,0,0,0,4,0,2,0,2,3,0,0,3
113,203,96,/survey-so,0,0,0,3,0,0,0,4,4,2,4,3,0
114,48,96,/survey-so,0,0,0,2,0,0,0,1,4,3,3,3,0
115,446,96,/survey-so,0,0,0,1,0,0,0,1,1,0,1,1,0
116,257,96,/survey-so,0,0,4,0,0,4,4,0,4,4,0,0,0
117,125,96,/survey-so,0,4,0,0,0,0,0,0,2,4,0,0,0
118,527,96,/survey-so,0,3,4,0,4,0,4,0,0,4,0,0,2
119,477,96,/survey-so,0,0,0,0,3,0,0,0,2,0,0,0,4
120,139,143,/survey-so,0,0,4,0,0,3,2,0,0,3,0,0,0
121,206,143,/survey-so,0,0,2,0,0,0,0,0,0,1,1,0,1
122,320,143,/survey-so,0,0,0,4,0,0,3,0,0,0,0,4,0
123,190,143,/survey-so,0,0,0,0,0,0,0,2,1,0,0,0,0
124,590,143,/survey-so,0,1,0,0,0,0,0,0,2,0,1,0,0
125,499,143,/survey-so,0,0,0,0,0,0,2,2,0,0,1,0,0
126,565,143,/survey-so,0,0,0,0,0,0,0,2,0,0,0,3,0
127,381,143,/survey-so,0,0,0,0,0,0,0,0,0,1,0,0,0
128,89,143,/survey-so,0,0,3,0,0,0,0,0,0,0,0,0,0
129,205,143,/survey-so,0,3,0,0,0,0,0,0,0,0,0,0,0
130,150,143,/survey-so,0,0,0,3,0,0,0,1,0,0,0,3,0
131,163,143,/survey-so,0,0,0,0,1,0,0,0,0,0,0,0,3
132,304,143,/survey-so,0,0,4,0,1,1,3,0,0,3,0,0,1
133,193,143,/survey-so,0,0,0,2,0,0,0,0,0,1,0,3,0
134,511,143,/survey-so,0,0,0,0,4,1,1,0,0,0,0,0,2
135,301,143,/survey-so,0,2,0,0,0,0,0,0,0,0,0,0,0
136,490,143,/survey-so,0,0,0,0,0,3,0,0,0,0,0,0,0
137,68,143,/survey-so,0,0,0,0,0,0,0,0,0,0,3,0,0
138,514,143,/survey-so,0,0,0,0,3,4,0,0,0,4,0,0,0
139,341,143,/survey-so,0,3,0,0,0,0,1,0,0,0,0,0,0
140,284,143,/survey-so,0,0,1,0,0,0,0,0,0,0,0,0,0
141,170,143,/survey-so,0,4,3,0,0,0,0,0,0,2,0,0,0
142,379,143,/survey-so,0,0,0,0,0,0,0,0,0,0,0,3,0
143,512,143,/survey-so,2,0,0,4,0,0,0,0,2,1,0,4,0
144,97,143,/survey-so,2,0,0,0,0,0,0,0,2,1,0,0,1
145,146,143,/survey-so,0,0,0,4,0,0,0,0,0,0,0,3,0
146,336,143,/survey-so,0,0,0,0,0,0,0,0,2,2,4,0,0
147,20,143,/survey-so,0,0,0,0,0,2,0,0,0,0,0,1,0
148,335,143,/survey-so,0,0,0,0,1,0,0,0,0,0,0,0,0
149,419,143,/survey-so,0,0,2,0,0,0,0,0,0,1,0,0,1
150,489,172,/survey-so,0,0,0,2,0,0,0,0,0,0,3,2,0
151,461,172,/survey-so,0,0,3,0,0,3,2,4,0,2,0,0,3
152,408,172,/survey-so,0,2,2,4,0,1,2,3,2,2,1,0,0
153,433,172,/survey-so,0,0,0,2,0,0,0,0,2,2,1,1,0
154,579,172,/survey-so,0,2,2,0,2,1,4,0,0,0,0,0,1
155,330,172,/survey-so,0,3,3,0,0,3,3,3,3,4,0,0,0
156,442,172,/survey-so,0,0,4,0,4,3,4,3,4,4,0,0,3
157,273,172,/survey-so,0,0,0,1,0,0,0,2,2,0,2,1,0
158,107,172,/survey-so,0,3,4,0,2,4,4,4,3,3,0,0,0
159,236,172,/survey-so,0,3,0,0,0,0,0,0,3,2,0,0,3
160,334,172,/survey-so,0,0,2,0,0,2,0,2,0,0,0,0,0
161,234,172,/survey-so,0,3,3,0,0,4,0,4,3,3,0,0,0
162,133,172,/survey-so,0,4,0,0,0,0,4,0,0,0,0,0,0
163,315,172,/survey-so,0,0,3,0,0,0,0,4,0,0,0,0,0
164,392,172,/survey-so,0,0,0,3,0,0,0,0,3,2,3,3,0
165,99,172,/survey-so,0,3,3,0,0,4,3,3,1,3,0,0,3
166,572,172,/survey-so,3,0,0,3,0,0,0,0,3,0,0,3,0
167,216,172,/survey-so,1,0,0,1,0,0,0,0,2,2,1,2,0
168,56,172,/survey-so,0,0,0,0,0,0,0,0,1,1,0,1,0
169,60,172,/survey-so,0,2,3,0,0,0,0,2,2,0,0,0,0
170,26,172,/survey-so,0,0,0,0,0,0,2,0,3,3,0,0,0
171,308,172,/survey-so,0,0,2,0,3,3,2,3,2,3,0,0,3
172,22,172,/survey-so,0,0,0,0,0,0,0,0,0,0,0,0,0
173,486,172,/survey-so,0,0,0,1,0,0,0,2,1,0,0,0,0
174,546,172,/survey-so,0,0,0,2,0,0,0,0,3,3,0,2,0
175,172,172,/survey-so,4,4,4,0,4,2,4,4,4,0,0,0,3
176,76,172,/survey-so,0,0,0,0,0,0,0,0,0,0,0,0,0
177,295,172,/survey-so,0,0,2,2,0,3,0,2,2,0,0,0,0
178,118,172,/survey-so,0,4,0,0,0,0,0,0,4,4,0,0,0
179,161,172,/survey-so,0,0,0,0,0,0,0,0,0,0,2,0,0
180,224,173,/survey-so,0,0,4,0,0,3,0,0,0,0,0,0,0
181,109,173,/survey-so,0,0,0,3,0,0,0,3,3,0,0,2,0
182,430,173,/survey-so,0,2,0,0,0,1,0,0,3,0,0,0,0
183,20,173,/survey-so,0,0,0,4,0,4,0,2,0,0,0,0,0
184,246,173,/survey-so,0,1,0,0,4,2,4,0,0,0,0,0,3
185,267,173,/survey-so,0,0,0,3,0,0,0,2,0,0,0,0,0
186,345,173,/survey-so,3,0,0,3,0,0,0,3,3,0,0,3,0
187,266,173,/survey-so,0,0,0,0,0,0,0,0,2,3,0,0,0
188,269,173,/survey-so,0,0,0,0,0,0,0,0,0,0,0,0,0
189,223,173,/survey-so,0,0,0,0,3,0,3,0,0,0,0,0,3
190,220,173,/survey-so,0,2,3,0,0,3,0,0,0,0,0,0,0
191,445,173,/survey-so,0,2,0,3,0,0,0,0,0,0,0,2,2
192,400,173,/survey-so,0,0,0,0,0,0,3,0,0,0,0,0,0
193,275,173,/survey-so,0,0,0,3,0,0,0,0,3,3,0,4,0
194,442,173,/survey-so,0,2,2,0,3,3,2,0,0,3,0,0,4
195,592,173,/survey-so,0,0,0,2,0,0,0,0,3,0,0,0,2
196,148,173,/survey-so,0,3,2,0,0,0,0,0,0,2,0,0,0
197,189,173,/survey-so,3,0,0,0,0,0,0,0,0,0,0,4,0
198,34,173,/survey-so,0,0,2,0,3,1,1,0,0,0,0,0,3
199,465,173,/survey-so,0,0,3,0,0,2,1,0,0,0,0,0,0
200,471,173,/survey-so,0,2,0,0,0,0,0,0,0,0,0,0,0
201,253,173,/survey-so,0,0,1,0,0,2,1,0,0,0,0,0,0
202,248,173,/survey-so,0,0,0,0,2,0,2,0,0,0,0,0,0
203,150,173,/survey-so,0,0,0,0,0,0,0,0,3,0,0,0,0
204,122,173,/survey-so,0,0,3,0,0,2,0,0,0,0,0,0,0
205,515,173,/survey-so,0,0,0,0,0,0,0,0,2,1,3,0,1
206,468,173,/survey-so,0,0,0,0,0,1,0,0,1,0,0,0,0
207,322,173,/survey-so,0,0,2,0,2,0,0,0,0,3,0,0,3
208,14,173,/survey-so,0,0,3,0,3,3,0,0,0,0,0,0,0
209,552,173,/survey-so,0,3,0,0,0,0,0,0,0,3,0,0,0
210,537,119,/survey-so,3,2,0,3,3,0,4,4,3,4,0,0,4
211,67,119,/survey-so,3,3,0,0,0,0,0,4,2,4,4,3,0
212,130,119,/survey-so,4,0,0,3,3,0,0,3,4,4,0,0,2
213,505,119,/survey-so,4,4,0,0,3,0,3,2,3,3,3,4,3
214,100,119,/survey-so,4,0,4,3,3,0,0,3,3,3,0,0,3
215,72,119,/survey-so,3,4,0,4,4,4,3,0,0,0,3,3,2
216,368,119,/survey-so,4,3,0,0,3,3,3,3,4,0,0,2,3
217,507,119,/survey-so,4,3,3,2,3,2,3,4,2,4,3,3,2
218,298,119,/survey-so,0,2,0,0,2,0,3,3,3,4,0,3,4
219,502,119,/survey-so,3,0,2,0,4,4,3,0,3,2,3,3,3
220,371,119,/survey-so,2,0,2,0,3,0,1,4,2,2,0,2,3
221,323,119,/survey-so,0,3,3,0,1,0,1,4,3,0,4,3,4
222,248,119,/survey-so,0,1,2,2,0,3,3,0,1,0,2,3,2
223,411,119,/survey-so,4,2,3,3,2,3,3,4,3,3,3,2,3
224,518,119,/survey-so,0,3,3,0,4,3,3,0,0,0,0,0,2
225,317,119,/survey-so,3,3,3,0,3,3,4,0,2,3,0,0,2
226,552,119,/survey-so,3,3,2,3,4,2,3,0,3,4,0,0,3
227,526,119,/survey-so,3,3,0,1,0,0,3,4,3,1,2,2,0
228,138,119,/survey-so,3,0,0,2,0,0,0,3,3,3,3,3,0
229,220,119,/survey-so,3,2,2,0,1,0,0,0,0,2,0,3,3
230,78,119,/survey-so,3,0,0,3,2,3,0,4,0,0,3,0,4
231,234,119,/survey-so,0,3,3,0,2,4,3,0,0,3,0,0,4
232,203,119,/survey-so,0,0,3,0,2,3,3,4,2,4,0,0,3
233,1,119,/survey-so,2,3,3,0,3,3,4,0,4,4,0,0,3
234,548,119,/survey-so,2,0,0,3,0,0,0,3,3,3,4,4,0
235,328,119,/survey-so,3,0,0,1,0,0,0,4,3,4,2,2,0
236,27,119,/survey-so,0,3,2,0,1,3,3,2,0,2,0,0,3
237,454,119,/survey-so,1,0,0,3,0,0,0,4,3,4,4,3,0
238,428,119,/survey-so,3,4,3,3,3,4,2,0,3,3,3,0,3
239,593,119,/survey-so,0,0,0,0,0,0,0,0,0,0,0,0,0
240,361,728,/survey-so,0,0,0,4,0,0,0,0,0,0,0,0,0
241,348,728,/survey-so,0,4,3,0,3,3,3,3,0,0,0,0,4
242,196,728,/survey-so,0,0,0,3,0,0,0,0,3,0,0,0,0
243,298,728,/survey-so,0,3,4,2,0,3,0,0,0,0,0,0,2
244,165,728,/survey-so,0,2,0,0,2,1,0,0,0,0,2,0,0
245,414,728,/survey-so,0,0,0,0,0,0,0,0,0,0,0,0,0
246,94,728,/survey-so,0,0,0,0,0,3,0,0,0,0,0,0,0
247,158,728,/survey-so,0,0,2,0,0,0,0,0,2,0,0,0,2
248,8,728,/survey-so,0,2,0,0,0,2,2,1,0,2,2,1,0
249,182,728,/survey-so,0,0,0,0,3,0,0,0,0,0,0,0,3
250,453,728,/survey-so,0,0,0,0,2,2,2,2,2,0,0,0,0
251,551,728,/survey-so,0,0,1,0,0,0,0,0,0,0,0,0,0
252,185,728,/survey-so,0,3,4,0,2,2,0,3,0,2,0,0,2
253,6,728,/survey-so,1,0,2,0,0,1,0,0,0,0,2,2,0
254,153,728,/survey-so,0,1,0,0,0,0,2,0,0,0,0,0,0
255,397,728,/survey-so,0,1,0,2,0,2,0,0,0,0,0,0,2
256,239,728,/survey-so,0,0,0,0,0,0,2,0,0,0,2,0,0
257,533,728,/survey-so,0,1,0,0,0,0,0,0,0,0,0,0,0
258,467,728,/survey-so,0,1,0,0,1,0,1,0,0,0,0,0,0
259,531,728,/survey-so,0,1,2,0,0,0,0,1,3,0,0,0,0
260,336,728,/survey-so,0,0,0,1,0,0,0,0,0,0,0,0,0
261,394,728,/survey-so,0,0,0,0,0,0,0,0,0,0,0,0,1
262,481,728,/survey-so,0,0,0,1,0,0,0,2,0,0,0,0,0
263,527,728,/survey-so,0,0,0,0,0,0,0,0,0,0,0,0,0
264,234,728,/survey-so,0,0,0,1,0,0,0,0,0,2,0,2,0
265,406,728,/survey-so,3,0,0,0,0,1,0,1,0,0,0,0,1
266,277,728,/survey-so,0,0,0,0,0,0,0,0,0,0,0,2,0
267,9,728,/survey-so,0,0,0,1,0,0,0,0,0,3,2,2,0
268,189,728,/survey-so,0,0,0,2,1,0,0,0,0,0,0,0,0
269,520,728,/survey-so,0,0,0,0,2,0,0,0,0,0,0,0,0
270,475,726,/survey-so,0,0,0,4,0,0,0,0,3,0,4,3,0
271,572,726,/survey-so,0,0,0,4,0,0,0,0,3,0,0,3,0
272,542,726,/survey-so,4,3,0,0,0,0,0,0,4,0,0,0,0
273,102,726,/survey-so,4,0,0,0,0,0,0,0,4,0,3,3,0
274,161,726,/survey-so,0,3,0,0,0,0,0,0,0,0,0,0,4
275,281,726,/survey-so,3,0,0,0,0,0,0,0,0,0,2,0,0
276,218,726,/survey-so,0,0,0,0,0,0,0,0,4,0,0,0,2
277,120,726,/survey-so,4,0,0,0,0,0,0,0,3,0,0,0,0
278,257,726,/survey-so,0,0,4,0,0,4,0,0,0,0,0,0,0
279,113,726,/survey-so,0,0,2,0,3,3,4,0,0,0,0,0,0
280,8,726,/survey-so,0,0,3,0,0,0,4,0,0,3,0,0,0
281,53,726,/survey-so,0,0,0,0,0,0,0,0,4,0,0,0,0
282,548,726,/survey-so,0,0,0,0,0,0,0,0,0,3,3,4,3
283,158,726,/survey-so,0,0,0,0,0,0,0,0,0,4,4,4,0
284,425,726,/survey-so,0,0,0,0,3,0,0,0,0,2,0,0,4
285,584,726,/survey-so,0,0,3,0,0,0,4,0,0,0,0,0,0
286,211,726,/survey-so,0,0,3,0,0,0,0,0,0,0,0,0,0
287,81,726,/survey-so,0,0,0,0,4,0,0,0,0,0,0,0,3
288,350,726,/survey-so,4,0,0,0,0,0,0,0,0,0,0,0,0
289,230,726,/survey-so,0,0,0,0,0,0,0,0,4,0,0,0,0
290,255,726,/survey-so,3,2,0,0,0,0,0,0,0,4,3,0,0
291,326,726,/survey-so,0,0,0,0,0,0,0,0,3,0,0,0,0
292,40,726,/survey-so,0,0,4,0,0,0,0,0,0,0,0,0,0
293,291,726,/survey-so,0,0,0,0,3,0,0,0,4,3,0,0,0
294,438,726,/survey-so,3,4,2,0,0,0,0,0,0,3,0,0,0
295,398,726,/survey-so,0,0,0,0,4,3,0,0,0,0,0,0,0
296,410,726,/survey-so,0,0,0,0,0,4,0,0,0,3,3,0,0
297,206,726,/survey-so,3,0,0,0,0,4,0,0,0,2,0,0,0
298,191,726,/survey-so,4,0,0,0,0,0,0,0,3,3,0,0,0
299,332,726,/survey-so,4,0,0,0,0,0,0,0,0,3,0,0,4
300,450,725,/survey-so,0,0,4,0,0,4,0,3,0,0,0,0,0
301,221,725,/survey-so,0,0,4,0,0,4,0,4,0,0,0,0,0
302,401,725,/survey-so,0,0,3,0,4,2,3,3,0,0,0,0,3
303,453,725,/survey-so,0,0,2,0,0,0,4,0,0,0,0,0,3
304,438,725,/survey-so,0,3,1,0,0,0,2,3,3,4,0,0,0
305,354,725,/survey-so,0,0,0,0,0,0,4,0,0,4,0,0,0
306,45,725,/survey-so,0,0,0,0,0,4,0,0,0,0,0,0,0
307,149,725,/survey-so,0,0,1,0,1,0,3,0,0,0,0,0,0
308,26,725,/survey-so,0,0,0,0,0,0,0,0,1,4,0,0,0
309,99,725,/survey-so,0,0,0,0,0,0,2,0,0,0,0,0,0
310,206,725,/survey-so,0,0,4,0,0,0,3,3,0,3,0,0,0
311,224,725,/survey-so,0,0,4,4,0,4,0,4,0,0,0,0,0
312,326,725,/survey-so,0,0,0,0,3,0,3,0,0,0,0,0,3
313,65,725,/survey-so,0,0,4,0,0,0,0,0,0,0,0,0,0
314,363,725,/survey-so,0,0,0,0,0,4,0,0,0,4,0,0,1
315,2,725,/survey-so,1,0,0,0,3,0,0,0,0,2,0,0,3
316,157,725,/survey-so,4,0,0,0,0,0,0,0,0,4,0,4,0
317,89,725,/survey-so,0,0,0,0,0,0,4,0,0,0,0,0,0
318,407,725,/survey-so,0,2,0,0,0,0,2,0,4,0,0,0,0
319,358,725,/survey-so,3,3,0,0,0,0,0,0,0,0,0,2,0
320,558,725,/survey-so,0,4,0,0,0,0,0,0,0,0,0,0,0
321,415,725,/survey-so,4,0,0,0,0,0,0,0,0,0,0,4,0
322,348,725,/survey-so,0,0,0,0,0,0,3,0,0,0,0,0,0
323,20,725,/survey-so,0,0,0,1,0,0,0,0,3,0,4,3,0
324,132,725,/survey-so,0,0,0,0,3,0,3,0,0,0,0,0,4
325,504,725,/survey-so,0,2,0,0,0,0,0,0,0,4,0,0,3
326,8,725,/survey-so,0,0,3,0,0,0,4,0,0,0,0,0,0
327,436,725,/survey-so,0,1,0,0,0,0,0,0,3,0,0,0,3
328,502,725,/survey-so,0,0,0,0,3,0,3,0,0,0,0,0,0
329,214,725,/survey-so,0,4,0,0,0,0,0,0,0,0,0,0,0
330,87,918,/survey-so,0,1,1,0,0,0,0,0,2,2,2,0,0
331,322,918,/survey-so,0,2,3,0,0,1,0,0,0,3,0,0,3
332,398,918,/survey-so,0,0,0,1,0,1,0,3,0,0,0,0,0
333,321,918,/survey-so,0,3,2,0,0,0,2,0,0,4,0,0,0
334,556,918,/survey-so,0,0,2,0,1,1,4,0,0,4,0,0,1
335,355,918,/survey-so,0,0,1,0,1,0,2,0,1,1,0,0,3
336,153,918,/survey-so,0,0,3,0,0,0,0,1,0,0,0,0,0
337,186,918,/survey-so,0,0,0,0,0,0,0,0,0,0,3,0,0
338,289,918,/survey-so,0,0,3,0,1,0,0,2,0,0,0,0,0
339,442,918,/survey-so,0,2,4,0,1,2,4,1,0,4,0,0,2
340,233,918,/survey-so,0,1,4,0,1,0,4,0,0,2,0,0,1
341,8,918,/survey-so,0,0,2,0,0,0,3,0,0,0,0,0,0
342,453,918,/survey-so,0,4,3,0,0,0,4,0,0,0,0,0,2
343,98,918,/survey-so,4,0,0,0,0,0,0,0,3,3,3,3,0
344,334,918,/survey-so,0,0,4,0,0,0,0,1,0,0,0,0,0
345,359,918,/survey-so,0,0,3,0,0,0,1,2,0,2,0,0,0
346,578,918,/survey-so,0,1,0,0,0,0,0,0,3,0,0,0,0
347,449,918,/survey-so,0,0,3,0,0,1,0,3,0,0,0,0,0
348,133,918,/survey-so,0,3,1,0,1,0,0,0,0,0,0,0,0
349,22,918,/survey-so,0,0,2,0,0,0,0,1,0,0,0,0,0
350,236,918,/survey-so,0,1,0,0,0,0,0,0,3,0,1,0,0
351,162,918,/survey-so,0,4,0,0,0,0,0,0,0,4,0,0,0
352,245,918,/survey-so,0,0,0,4,0,0,0,1,0,0,3,0,0
353,201,918,/survey-so,0,1,1,0,2,0,0,0,0,0,0,0,4
354,522,918,/survey-so,0,1,2,0,0,0,2,1,1,3,0,0,1
355,501,918,/survey-so,0,0,2,0,0,0,0,2,0,0,0,0,0
356,276,918,/survey-so,0,0,0,0,0,0,0,2,1,0,2,0,0
357,10,918,/survey-so,0,0,4,0,0,3,1,0,0,4,0,0,0
358,136,918,/survey-so,0,0,1,0,0,0,4,0,0,4,0,0,0
359,157,918,/survey-so,4,0,0,0,0,0,0,0,0,4,2,4,0
360,391,967,/survey-so,3,0,0,4,0,0,0,0,4,4,4,4,0
361,230,967,/survey-so,2,0,0,0,3,0,0,0,4,3,3,3,3
362,104,967,/survey-so,0,0,3,0,0,4,0,4,4,2,0,0,3
